date;usd_ars_sell
2017-10-12;17.42
2017-10-13;17.42
2017-10-14;17.34
2017-10-18;17.34
2017-10-19;17.35
2017-10-20;17.45
2017-10-21;17.42
2017-10-24;17.42
2017-10-25;17.5
2017-10-26;17.49
2017-10-27;17.66
2017-10-28;17.63
2017-10-31;17.66
2017-11-01;17.66
2017-11-02;17.61
2017-11-03;17.52
2017-11-04;17.64
2017-11-08;17.65
2017-11-09;17.52
2017-11-10;17.52
2017-11-11;17.5
2017-11-14;17.5
2017-11-15;17.5
2017-11-16;17.5
2017-11-17;17.48
2017-11-18;17.49
2017-11-22;17.49
2017-11-23;17.43
2017-11-24;17.42
2017-11-25;17.35
2017-11-28;17.32
2017-11-29;17.37
2017-11-30;17.43
2017-12-01;17.31
2017-12-02;17.23
2017-12-05;17.36
2017-12-06;17.29
2017-12-07;17.26
2017-12-08;17.28
2017-12-12;17.24
2017-12-13;17.35
2017-12-14;17.31
2017-12-15;17.45
2017-12-16;17.52
2017-12-19;17.57
2017-12-20;17.7
2017-12-21;17.76
2017-12-22;17.96
2017-12-23;18.07
2017-12-27;18.34
2017-12-28;18.44
2017-12-29;19.2
2017-12-30;18.65
2018-01-03;18.41
2018-01-04;18.45
2018-01-05;18.63
2018-01-06;18.86
2018-01-09;19.03
2018-01-10;18.93
2018-01-11;18.62
2018-01-12;18.71
2018-01-13;18.69
2018-01-16;18.77
2018-01-17;18.9
2018-01-18;18.85
2018-01-19;18.87
2018-01-20;19
2018-01-23;19.15
2018-01-24;19.34
2018-01-25;19.65
2018-01-26;19.56
2018-01-27;19.57
2018-01-30;19.58
2018-01-31;19.65
2018-02-01;19.65
2018-02-02;19.38
2018-02-03;19.5
2018-02-06;19.48
2018-02-07;19.56
2018-02-08;19.7
2018-02-09;19.97
2018-02-10;19.98
2018-02-15;19.9
2018-02-16;19.66
2018-02-17;19.76
2018-02-20;19.9
2018-02-21;19.85
2018-02-22;19.93
2018-02-23;19.95
2018-02-24;19.98
2018-02-27;20.2
2018-02-28;20.2
2018-03-01;20.11
2018-03-02;20.15
2018-03-03;20.27
2018-03-06;20.21
2018-03-07;20.34
2018-03-08;20.41
2018-03-09;20.36
2018-03-10;20.25
2018-03-13;20.2
2018-03-14;20.22
2018-03-15;20.23
2018-03-16;20.35
2018-03-17;20.2
2018-03-20;20.2
2018-03-21;20.27
2018-03-22;20.27
2018-03-23;20.23
2018-03-24;20.19
2018-03-27;20.19
2018-03-28;20.17
2018-03-29;20.15
2018-04-04;20.18
2018-04-05;20.18
2018-04-06;20.2
2018-04-07;20.18
2018-04-10;20.19
2018-04-11;20.16
2018-04-12;20.17
2018-04-13;20.21
2018-04-14;20.22
2018-04-17;20.22
2018-04-18;20.18
2018-04-19;20.14
2018-04-20;20.16
2018-04-21;20.19
2018-04-24;20.26
2018-04-25;20.26
2018-04-26;20.25
2018-04-27;20.55
2018-04-28;20.54
2018-05-03;21.2
2018-05-04;23
2018-05-05;21.8
2018-05-08;21.96
2018-05-09;22.4
2018-05-10;22.72
2018-05-11;22.69
2018-05-12;23.26
2018-05-15;24.99
2018-05-16;24.05
2018-05-17;24.29
2018-05-18;24.32
2018-05-19;24.43
2018-05-22;24.39
2018-05-23;24.28
2018-05-24;24.48
2018-05-25;24.6
2018-05-29;24.71
2018-05-30;24.84
2018-05-31;24.96
2018-06-01;24.96
2018-06-02;24.98
2018-06-05;24.97
2018-06-06;24.96
2018-06-07;24.9
2018-06-08;24.99
2018-06-09;25.31
2018-06-12;26
2018-06-13;25.75
2018-06-14;26
2018-06-15;27.7
2018-06-16;28.35
2018-06-19;27.58
2018-06-20;27.76
2018-06-22;27.5
2018-06-23;27.01
2018-06-26;27.09
2018-06-27;27.1
2018-06-28;27.44
2018-06-29;28.1
2018-06-30;28.85
2018-07-03;28.3
2018-07-04;27.8
2018-07-05;28.07
2018-07-06;28.05
2018-07-07;27.9
2018-07-11;27.37
2018-07-12;27.39
2018-07-13;27.23
2018-07-17;27.36
2018-07-18;27.55
2018-07-19;27.6
2018-07-21;27.58
2018-07-24;27.62
2018-07-25;27.48
2018-07-26;27.39
2018-07-27;27.41
2018-07-28;27.33
2018-07-31;27.41
2018-08-01;27.41
2018-08-02;27.53
2018-08-03;27.45
2018-08-04;27.29
2018-08-07;27.33
2018-08-08;27.4
2018-08-09;27.65
2018-08-10;28.11
2018-08-11;29.25
2018-08-14;29.93
2018-08-15;29.61
2018-08-16;30
2018-08-17;29.84
2018-08-18;29.85
2018-08-22;30
2018-08-23;30.25
2018-08-24;30.49
2018-08-25;30.9
2018-08-28;30.97
2018-08-29;31.35
2018-08-30;34
2018-08-31;37.6
